name,area,address,score,mentions,info,hours
셀렉티드닉스,강남,서울 강남구 테헤란로4길 37,⭐5,4,"🔌넉넉(자리마다 콘센트, 3층 콘센트 넉넉) | 📶빠름 | 🔇조용 | 🌙24시간 | 티라미수 맛집, 루프탑, 8층 카공존, 주차 가능","평일 08:00-24:00, 주말 11:00-24:00"
셀렉티드마롱,강남,서울 강남구 강남대로94길 9,⭐4,1,"🔌있음 | 📶있음 | 🔇조용 | 갤러리 감성, 루프탑 시티뷰",
필메이트,강남,서울 강남구 테헤란로1길 28,⭐4,2,"🔌넉넉(대부분 자리마다 콘센트) | 📶빠름 | 🌙24시간 | 아침 8시 오픈, 화이트+우드 인테리어, 3층 규모 대형","월-목,일 08:00-23:00, 금토 08:00-24:00"
베이커스트 브라운,강남,서울 강남구 강남대로102길 21,⭐3,1,"🔌있음(콘센트 좌석 많지 않음) | 프랑스산 버터 빵/브런치 맛집, 신논현역 인근",매일 11:00-22:30
공차 강남본점,강남,서울 강남구 강남대로 396,⭐3,1,"🔌넉넉(테이블마다 콘센트) | 1인 칸막이 자리, 피크타임 만석 주의",
에이비카페,강남,서울 강남구 역삼동,⭐3,1,"🔌넉넉 | 🌙24시간 | 발리 감성 인테리어, 24시간 운영",24시간 (4층만 13:00-22:00)
블리스라운드,강남,서울 강남구 역삼동,⭐3,1,"🔌있음(콘센트 위치 잘 배치) | 소금빵 맛집, 단체 모임 가능",
fyi 카페,강남,서울 강남구 역삼로 180 마루180 1층,⭐4,2,"🔌넉넉(곳곳에 콘센트) | 📶빠름 | 🔇조용 | 스타트업 커뮤니티 라운지, 넓은 테이블, 역삼역 인근",
인포메이션 카페,강남,서울 강남구 강남대로 390,⭐4,1,"🔌있음 | 벽돌 인테리어, 베이커리+스페셜티 커피, 1인 테이블 많아 혼자 집중 최적",
리퍼크,강남,서울 강남구 강남대로 382,⭐4,1,"🔌넉넉(곳곳에 콘센트 많음) | 오피스 빌딩 1층, 퀄리티 높은 커피, 혼자 작업/스터디 최적",
